Performer,Song,spotify_genre
Plastic Bertrand,Ca Plane Pour Moi,['classic belgian pop']
The Mills Brothers,Cab Driver,"['adult standards', 'big band', 'lounge', 'swing', 'vocal harmony group', 'vocal jazz']"
Herb Alpert & The Tijuana Brass,Cabaret,"['adult standards', 'easy listening', 'lounge']"
Spyro Gyra,Cafe Amore,"['jazz funk', 'jazz fusion', 'progressive jazz fusion', 'smooth jazz']"
DNCE,Cake By The Ocean,"['dance pop', 'pop', 'post-teen pop']"
Flo Rida & 99 Percent,Cake,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
Enur Featuring Natasja,Calabria 2008,['reggae fusion']
Lawrence Welk And His Orchestra,Calcutta,[]
The Four Preps,Calcutta,"['deep adult standards', 'vocal harmony group']"
James Brown And His Orchestra,Caldonia,
Robin Trower,Caledonia,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'modern blues', 'psychedelic rock', 'rock', 'southern rock']"
Neil Sedaka,Calendar Girl,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'rockabilly', 'soft rock']"
Ronny And The Daytonas,California Bound,"['bubblegum pop', 'surf music']"
Starland Vocal Band,California Day,"['bubblegum pop', 'soft rock']"
America,California Dreamin',"['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Bobby Womack,California Dreamin',"['classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
The Beach Boys,California Dreamin',"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
The Mamas & The Papas,California Dreamin',"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']"
Mama Cass,California Earthquake,
Norman Greenbaum,California Earthquake,['classic rock']
Tompall & The Glaser Brothers,California Girl (And The Tennessee Square),['deep free jazz']
Eddie Floyd,California Girl,"['classic soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
David Lee Roth,California Girls,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'neo classical metal', 'rock']"
The Beach Boys,California Girls,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
Katy Perry Featuring Snoop Dogg,California Gurls,
Lobo,California Kid And Reemo,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Rihanna,California King Bed,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
The Main Ingredient,California My Way,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Lesley Gore,California Nights,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic girl group', 'folk rock', 'motown', 'rock-and-roll']"
Sweet,California Nights,[]
Morning Mist,California On My Mind,"['funeral doom', 'gothic doom']"
The Beach Boys,California Saga (On My Way To Sunny Californ-i-a),"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
The 5th Dimension,California Soul,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']"
Joe Jones,California Sun,"['broken beat', 'indie jazz', 'indie soul', 'neo r&b', 'uk contemporary jazz']"
The Rivieras,California Sun,"['classic garage rock', 'doo-wop', 'surf music']"
Debby Boone,California,['bubblegum pop']
Red Hot Chili Peppers,Californication,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']"
Migos,Call Casting,"['atl hip hop', 'pop rap', 'rap', 'trap']"
Poco,Call It Love,"['album rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'soft rock']"
The Escape Club,Call It Poison,[]
Great White,Call It Rock N' Roll,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']"
Taylor Swift,Call It What You Want,"['pop', 'post-teen pop']"
Al Green,Call Me (Come Back Home),"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
Too Short & Lil' Kim,"Call Me (From ""Booty Call"")","['cali rap', 'gangster rap', 'hip hop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']"
Frank Sinatra,Call Me Irresponsible,"['adult standards', 'easy listening', 'lounge']"
Jack Jones,Call Me Irresponsible,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
The Who,Call Me Lightning,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'protopunk', 'rock', 'roots rock']"
Carly Rae Jepsen,Call Me Maybe,"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']"
Burl Ives,Call Me Mr. In-Between,"['adult standards', 'american folk revival']"
Van Morrison,Call Me Up In Dreamland,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Evanescence,Call Me When You're Sober,"['alternative metal', 'post-grunge']"
Aretha Franklin,Call Me/Son Of A Preacher Man,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
Blondie,Call Me,"['candy pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']"
Chris Montez,Call Me,"['adult standards', 'brill building pop', 'bubblegum pop', 'merseybeat', 'rock-and-roll']"
Dennis DeYoung,Call Me,['soft rock']
Go West,Call Me,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Johnny Mathis,Call Me,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']"
Le Click,Call Me,"['eurodance', 'hip house']"
Skyy,Call Me,"['deep disco', 'disco', 'electro', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']"
Tweet,Call Me,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']"
Wilson Pickett,"Call My Name, I'll Be There","['brill building pop', 'classic rock', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']"
Prince,Call My Name,"['bachata', 'latin', 'latin pop', 'reggaeton', 'tropical']"
Bobby Bland,Call On Me,"['blues', 'electric blues', 'soul', 'soul blues', 'southern soul']"
Chicago,Call On Me,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
Janet & Nelly,Call On Me,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Starley,Call On Me,['aussietronica']
The Weeknd,Call Out My Name,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Zwol,Call Out My Name,[]
Future,Call The Coroner,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Giuffria,Call To The Heart,[]
The Chainsmokers & Bebe Rexha,Call You Mine,"['edm', 'electropop', 'pop', 'tropical house']"
The Chainsmokers & Bebe Rexha,Call You Mine,"['electropop', 'pop', 'tropical house']"
Bad Bunny & Tainy,Callaita,"['latin', 'reggaeton', 'trap latino']"
Bad Bunny & Tainy,Callaita,"['latin', 'reggaeton', 'trap latino']"
Snow Patrol,Called Out In The Dark,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']"
John D. Loudermilk,Callin' Doctor Casey,['rock-and-roll']
Lil' Zane Featuring 112,Callin' Me,[]
Train,Calling All Angels,"['neo mellow', 'pop', 'pop rock']"
Queen,Calling All Girls,"['glam rock', 'rock']"
China Anne McClain,Calling All The Monsters,"['disney', 'post-teen pop', 'social media pop']"
Electric Light Orchestra,Calling America,"['album rock', 'art rock', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
KISS,Calling Dr. Love,"['album rock', 'classic rock', 'glam rock', 'hard rock', 'metal', 'rock']"
Animotion,Calling It Love,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Lil Tjay Featuring 6LACK,Calling My Phone,
Kodak Black,Calling My Spirit,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Carpenters,Calling Occupants Of Interplanetary Craft,"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']"
Busta Rhymes Featuring Eminem,Calm Down,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
Pedro Capo X Farruko,Calma,
Pedro Capo X Farruko,Calma,
Young Thug Featuring Rowdy Rebel,Came And Saw,
Blake Shelton,Came Here To Forget,"['contemporary country', 'country', 'country road', 'oklahoma country']"
A.B. Skhy,Camel Back,['hammond organ']
NLE Choppa,Camelot,['memphis hip hop']
Brad Paisley,Camouflage,"['contemporary country', 'country', 'country road']"
Billy Joe Royal,Campfire Girls,"['brill building pop', 'bubblegum pop', 'merseybeat', 'swamp pop']"
PC Quest,Can I Call You My Girl,
Tyrone Davis,Can I Change My Mind,"['chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Lee Michaels,Can I Get A Witness,['hammond organ']
Marvin Gaye,Can I Get A Witness,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']"
Jay-Z Featuring Amil (Of Major Coinz) & Ja,Can I Get A...,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
The Turtles,Can I Get To Know You Better,"['brill building pop', 'bubblegum pop', 'folk rock', 'psychedelic rock']"
Pharrell Featuring Gwen Stefani,Can I Have It Like That,"['dance pop', 'pop', 'pop rap']"
Zac Efron & Vanessa Hudgens,Can I Have This Dance,"['hollywood', 'post-teen pop', 'show tunes']"
Karyn White,Can I Stay With You,"['minneapolis sound', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Michael Bolton,Can I Touch You...There?,"['adult standards', 'soft rock']"
The Bachelors,Can I Trust You?,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']"
Kehlani Featuring Tory Lanez,Can I,
Suzi Quatro,Can The Can,"['classic uk pop', 'glam rock', 'soft rock']"
Natural Four,Can This Be Real,['classic soul']
Robin Thicke,Can U Believe,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
3rd Party,Can U Feel It,[]
Usher,Can U Get Wit It,"['atl hip hop', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
SWV,"Can We (From ""Booty Call"")","['dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']"
Robert Palmer,Can We Still Be Friends,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'disco', 'heartland rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'yacht rock']"
Todd Rundgren,Can We Still Be Friends,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'philly soul', 'power pop', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'symphonic rock', 'zolo']"
Tevin Campbell,Can We Talk,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Grand Funk Railroad,Can You Do It,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'symphonic rock']"
The Contours,Can You Do It,"['brill building pop', 'motown', 'northern soul']"
Bobby Goldsboro,Can You Feel It,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']"
The Jacksons,Can You Feel It,"['disco', 'funk', 'motown', 'quiet storm', 'soul']"
Dru Down,Can You Feel Me,"['g funk', 'gangster rap', 'hyphy', 'west coast rap', 'west coast trap']"
Lisa Lisa And Clult Jam With Full Force,Can You Feel The Beat,
Elton John,"Can You Feel The Love Tonight (From ""The Lion King"")","['glam rock', 'mellow gold', 'piano rock']"
Glen Campbell,Can You Fool,"['adult standards', 'arkansas country', 'brill building pop', 'bubblegum pop', 'classic country pop', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'lounge', 'mellow gold', 'nashville sound', 'soft rock']"
Funkadelic,Can You Get To That,"['funk', 'funk rock', 'p funk', 'psychedelic rock', 'soul']"
Graham Central Station,Can You Handle It?,['funk']
The Contours,Can You Jerk Like Me,"['brill building pop', 'motown', 'northern soul']"
Bob Dylan,Can You Please Crawl Out Your Window?,"['album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']"
Maureen McGovern,Can You Read My Mind,['bubblegum pop']
New Edition,Can You Stand The Rain,"['boy band', 'dance pop', 'funk', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Peabo Bryson,Can You Stop The Rain,"['adult standards', 'new jack swing', 'quiet storm', 'soft rock', 'urban contemporary']"
Rufus Thomas,Can Your Monkey Do The Dog,"['classic soul', 'funk', 'memphis blues', 'memphis soul', 'rhythm and blues', 'soul', 'southern soul']"
Lil Wayne,Can't Be Broken,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Trey Songz,Can't Be Friends,"['dance pop', 'pop', 'pop rap', 'r&b', 'trap', 'urban contemporary']"
Tim McGraw,Can't Be Really Gone,"['contemporary country', 'country', 'country road']"
Miley Cyrus,Can't Be Tamed,"['dance pop', 'pop', 'post-teen pop']"
Mona Lisa Featuring Lost Boyz,"Can't Be Wasting My Time (From ""Don't Be A Menace..."")",[]
T-Pain Featuring Lil Wayne,Can't Believe It,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
Faith Evans Featuring Carl Thomas,Can't Believe,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
The Beatles,Can't Buy Me Love,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
Cate Bros.,Can't Change My Heart,
Sheryl Crow,Can't Cry Anymore,"['folk', 'lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock']"
The Williams Brothers,Can't Cry Hard Enough,"['contemporary gospel', 'gospel']"
Fabolous Featuring Nate Dogg,Can't Deny It,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'trap']"
Juice WRLD,Can't Die,"['chicago rap', 'melodic rap']"
Lil Baby,Can't Explain,"['atl hip hop', 'atl trap', 'rap', 'trap']"
The Weeknd,Can't Feel My Face,"['canadian contemporary r&b', 'canadian pop', 'pop']"
LeAnn Rimes,Can't Fight The Moonlight,"['country', 'country dawn', 'dance pop', 'pop rock']"
REO Speedwagon,Can't Fight This Feeling,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
Orpheus,Can't Find The Time,"['chamber orchestra', 'classical organ', 'classical performance']"
Rose Colored Glass,Can't Find The Time,
Gloria Estefan,Can't Forget You,"['dance pop', 'latin pop', 'new wave pop', 'soft rock']"
? (Question Mark) & The Mysterians,"Can't Get Enough Of You, Baby","['chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
Barry White,"Can't Get Enough Of Your Love, Babe","['adult standards', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
Taylor Dayne,Can't Get Enough Of Your Love,"['freestyle', 'hi-nrg', 'new wave pop', 'soft rock']"
Bad Company,Can't Get Enough,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
J. Cole Featuring Trey Songz,Can't Get Enough,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']"
Patty Loveless,Can't Get Enough,"['country', 'country dawn', 'country rock']"
Willie Max Featuring Raphael Saadiq,Can't Get Enough,[]
Winger,Can't Get Enuff,"['album rock', 'glam metal', 'hard rock', 'rock', 'sleaze rock']"
Electric Light Orchestra,Can't Get It Out Of My Head,"['album rock', 'art rock', 'bow pop', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
Eydie Gorme,Can't Get Over (The Bossa Nova),"['adult standards', 'bolero']"
Donnie Elbert,Can't Get Over Losing You,"['classic soul', 'northern soul']"
Peter Wolf,Can't Get Started,[]
Andy Williams,Can't Get Used To Losing You,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']"
Lenny Kravitz,Can't Get You Off My Mind,"['permanent wave', 'pop rock', 'rock']"
Kylie Minogue,Can't Get You Out Of My Head,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']"
Lil Suzy,Can't Get You Out Of My Mind,['freestyle']
The Stylistics,Can't Give You Anything (but My Love),"['adult standards', 'classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul']"
Tamia,Can't Go For That,"['canadian pop', 'dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Drake,Can't Have Everything,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
The Standells,Can't Help But Love You,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
Trey Songz,Can't Help But Wait,"['dance pop', 'pop', 'pop rap', 'r&b', 'trap', 'urban contemporary']"
UB40,"Can't Help Falling In Love (From ""Sliver"")","['reggae fusion', 'uk reggae']"
Al Martino,Can't Help Falling In Love,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
Andy Williams,Can't Help Falling In Love,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']"
Christina Grimmie,Can't Help Falling In Love,"['post-teen pop', 'viral pop']"
Corey Hart,Can't Help Falling In Love,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Elvis Presley With The Jordanaires,Can't Help Falling In Love,
The Excels,Can't Help Lovin' That Girl Of Mine,[]
Gerald Levert,Can't Help Myself,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
"Earth, Wind & Fire",Can't Hide Love,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']"
Kano,Can't Hold Back (Your Loving),"['grime', 'uk alternative hip hop', 'uk hip hop']"
Christina Aguilera Featuring Lil' Kim,Can't Hold Us Down,"['dance pop', 'pop', 'post-teen pop', 'r&b']"
Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,['pop rap']
Eddie Money,Can't Keep A Good Man Down,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']"
JAY-Z,Can't Knock The Hustle,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Ciara Featuring 50 Cent,Can't Leave 'Em Alone,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']"
21 Savage,Can't Leave Without It,"['atl hip hop', 'pop rap', 'rap', 'trap']"
Anthony Hamilton,Can't Let Go,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
Laurnea,Can't Let Go,[]
Mariah Carey,Can't Let Go,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Stephen Stills,Can't Let Go,"['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']"
Fabolous Featuring Mike Shorey & Lil' Mo,Can't Let You Go,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'trap']"
Chuck Jackson & Maxine Brown,Can't Let You Out Of My Sight,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']"
Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down,[]
Solomon Burke,Can't Nobody Love You,"['brill building pop', 'classic soul', 'funk', 'motown', 'soul', 'soul blues', 'southern soul', 'vocal jazz']"
Kelly Rowland,Can't Nobody,"['atl hip hop', 'dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
The Knack,Can't Put A Price On Love,"['album rock', 'power pop']"
K. Michelle,Can't Raise A Man,"['dance pop', 'deep pop r&b', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
Shakira Featuring Rihanna,Can't Remember To Forget You,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
The Impressions,Can't Satisfy,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']"
Curtis Mayfield,Can't Say Nothin',"['chicago soul', 'classic soul', 'disco', 'funk', 'soul']"
Travis Scott,Can't Say,['rap']
The Seeds,Can't Seem To Make You Mine,['permanent wave']
Agnetha Faltskog,Can't Shake Loose,"['classic swedish pop', 'europop', 'new wave pop', 'swedish pop']"
Gloriana,Can't Shake You,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
Pentatonix,Can't Sleep Love,['a cappella']
Rockets,Can't Sleep,"['dance rock', 'dream pop', 'gothic rock', 'industrial rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk']"
Barry Manilow,Can't Smile Without You,"['adult standards', 'bubblegum pop', 'disco', 'lounge', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
Gloria Estefan & Miami Sound Machine,Can't Stay Away From You,"['dance pop', 'latin pop', 'new wave pop', 'soft rock']"
Dave Hollister,Can't Stay,"['hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Becky G,Can't Stop Dancin',"['latin', 'latin viral pop', 'rap latina', 'reggaeton']"
Captain & Tennille,Can't Stop Dancin',['pop edm']
Cheap Trick,Can't Stop Falling Into Love,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'power pop', 'rock', 'soft rock']"
B.T. Express,"Can't Stop Groovin' Now, Wanna Do It Some More","['classic soul', 'disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm']"
Van Halen,Can't Stop Lovin' You,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
Phil Collins,Can't Stop Loving You,"['mellow gold', 'soft rock']"
The Last Word,Can't Stop Loving You,[]
Tom Jones,Can't Stop Loving You,"['adult standards', 'british invasion', 'mellow gold']"
Aaron Neville,Can't Stop My Heart From Loving You (The Rain Song),['soul']
Justin Timberlake,Can't Stop The Feeling!,"['dance pop', 'pop']"
Bryan Adams,Can't Stop This Thing We Started,"['album rock', 'canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
Young Gunz,"Can't Stop, Won't Stop",['philly rap']
After 7,Can't Stop,"['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
DaBaby,CAN'T STOP,"['north carolina hip hop', 'rap']"
Red Hot Chili Peppers,Can't Stop,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']"
Rick James,Can't Stop,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
Drake,Can't Take A Joke,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Frankie Valli,Can't Take My Eyes Off You,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']"
Nancy Wilson,Can't Take My Eyes Off You,"['adult standards', 'cool jazz', 'jazz', 'lounge', 'soul', 'vocal jazz']"
Kanye West,Can't Tell Me Nothing,"['chicago rap', 'rap']"
Public Enemy,Can't Truss It,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap']"
Juice Newton,Can't Wait All Night,"['classic country pop', 'country dawn', 'soft rock']"
Five Star,Can't Wait Another Minute,['modern uplift']
Redman,Can't Wait,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'new jersey rap', 'rap', 'southern hip hop', 'wu fam']"
Dan Hill (Duet With Vonda Shepard),Can't We Try,
Rockell [Duet With Collage],Can't We Try,
Teddy Pendergrass,Can't We Try,"['classic soul', 'disco', 'funk', 'motown', 'new jack swing', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'southern soul', 'urban contemporary']"
Sam & Dave,Can't You Find Another Way (Of Doing It),"['pop', 'uk pop']"
Herman's Hermits,Can't You Hear My Heartbeat,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']"
Wayne Newton,Can't You Hear The Song?,"['adult standards', 'easy listening', 'lounge']"
Aretha Franklin,Can't You Just See Me,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
Total Featuring The Notorious B.I.G.,"Can't You See (From ""New Jersey Drive"")","['hip hop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
Mary Wells,Can't You See (You're Losing Me),"['brill building pop', 'classic soul', 'funk', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
The New Colony Six,Can't You See Me Cry,"['bubblegum pop', 'classic garage rock', 'freakbeat']"
The Dave Clark Five,Can't You See That She's Mine,"['brill building pop', 'british invasion', 'bubblegum pop', 'classic garage rock', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
The Marshall Tucker Band,Can't You See,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']"
Waylon Jennings,Can't You See,"['country', 'country rock', 'outlaw country', 'texas country']"
Boston,Can'tcha Say (You Believe In Me)/Still In Love,"['album rock', 'art rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
"""Weird Al"" Yankovic",Canadian Idiot,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
Etta Jones,Canadian Sunset,['vocal jazz']
Sounds Orchestral,Canadian Sunset,[]
Larray,Canceled,"['social media pop', 'viral rap']"
twenty one pilots,Cancer,"['modern rock', 'rock']"
Dawn,Candida,['calming instrumental']
The White Tie Affair,Candle (Sick And Tired),"['alternative pop rock', 'electropowerpop', 'neon pop punk', 'pixie', 'pop emo']"
Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']"
Elton John,Candle In The Wind,"['glam rock', 'mellow gold', 'piano rock']"
Glee Cast,Candles,"['glee club', 'hollywood', 'post-teen pop']"
Bonnie Guitar,Candy Apple Red,[]
"10,000 Maniacs",Candy Everybody Wants,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
New Edition,Candy Girl,"['boy band', 'dance pop', 'funk', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
The 4 Seasons,Candy Girl,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'motown', 'northern soul', 'rock-and-roll']"
